movie_link,movie_name,movie_author
https://movie.douban.com/subject/1295038/,哈利·波特与魔法石,"
导演:ChrisColumbus   主演:DanielRadcliffe/EmmaWatson/RupertGrint"
https://movie.douban.com/subject/1294408/,音乐之声,"
导演:罗伯特·怀斯RobertWise   主演:朱莉·安德鲁斯JulieAndrews/克..."
https://movie.douban.com/subject/1291832/,低俗小说,"
导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra..."
https://movie.douban.com/subject/10777687/,7号房的礼物,"
导演:李焕庆Hwan-kyeongLee   主演:柳承龙Seung-yongRyoo/朴信惠Shi..."
https://movie.douban.com/subject/1291579/,怪兽电力公司,"
导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman   主演:约..."
https://movie.douban.com/subject/3792799/,岁月神偷,"
导演:罗启锐AlexLaw   主演:吴君如SandraNg/任达华SimonYam/钟绍..."
https://movie.douban.com/subject/1295399/,七武士,"
导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/志村乔..."
https://movie.douban.com/subject/5989818/,萤火之森,"
导演:大森贵弘TakahiroOmori   主演:佐仓绫音AyaneSakura/内山昂辉K..."
https://movie.douban.com/subject/1306249/,唐伯虎点秋香,"
导演:李力持Lik-ChiLee   主演:周星驰StephenChow/巩俐LiGong/陈..."
https://movie.douban.com/subject/11026735/,超能陆战队,"
导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams   主演:斯科特..."
https://movie.douban.com/subject/1417598/,电锯惊魂,"
导演:詹姆斯·温JamesWan   主演:雷·沃纳尔LeighWhannell/加利·艾..."
https://movie.douban.com/subject/3395373/,蝙蝠侠：黑暗骑士崛起,"
导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ..."
https://movie.douban.com/subject/1292401/,真爱至上,"
导演:理查德·柯蒂斯RichardCurtis   主演:休·格兰特HughGrant/柯林..."
https://movie.douban.com/subject/1578507/,谍影重重3,"
导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/..."
https://movie.douban.com/subject/1907966/,疯狂原始人,"
导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders   主演..."
https://movie.douban.com/subject/1293318/,萤火虫之墓,"
导演:高畑勋IsaoTakahata   主演:辰己努/白石绫乃/志乃原良子"
https://movie.douban.com/subject/1303037/,喜宴,"
导演:李安AngLee   主演:赵文瑄WinstonChao/郎雄SihungLung/归亚..."
https://movie.douban.com/subject/1292328/,东邪西毒,"
导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/林青霞Brigitte..."
https://movie.douban.com/subject/2209573/,贫民窟的百万富翁,"
导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan   主演:戴夫..."
https://movie.douban.com/subject/1297574/,英雄本色,"
导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/狄龙LungTi/张国..."
